Machine_ID,Coolant_Pressure,Coolant_Temperature,Hydraulic_Oil_Temperature,Spindle_Bearing_Temperature,Spindle_Speed,Downtime
Makino-L1-Unit1-2013,4.852677086,27,41.4,41.6,19577,Machine_Failure
Makino-L2-Unit1-2015,5.229820438,22.4,48.2,32.9,14152,No_Machine_Failure
Makino-L3-Unit1-2015,4.822650137,27,51.6,28.7,19456,Machine_Failure
Makino-L3-Unit1-2015,6.820962547,30.3,52.7,38.9,19443,Machine_Failure
Makino-L1-Unit1-2013,5.229753537,22.4,51.8,37.1,17726,No_Machine_Failure
Makino-L3-Unit1-2015,5.130321956,21.6,45.5,30.5,14152,No_Machine_Failure
Makino-L1-Unit1-2013,4.916312723,29.8,44.9,33.8,19784,Machine_Failure
Makino-L3-Unit1-2015,5.098391373,21.2,44.7,39.7,19197,No_Machine_Failure
Makino-L1-Unit1-2013,5.095632061,21.2,47.8,37,18436,No_Machine_Failure
Makino-L1-Unit1-2013,5.093945332,21.2,43.4,37.9,17726,No_Machine_Failure
Makino-L3-Unit1-2015,5.095720292,21.2,51.1,35.3,16198,No_Machine_Failure
Makino-L1-Unit1-2013,5.094040107,21.2,44.4,27.4,15217,No_Machine_Failure
Makino-L2-Unit1-2015,5.092841689,5.7,45.3,33.2,20470,No_Machine_Failure
Makino-L1-Unit1-2013,5.097346355,4.5,45,36.8,17726,No_Machine_Failure
Makino-L2-Unit1-2015,5.097677352,21.2,49.7,34.2,14266,No_Machine_Failure
Makino-L2-Unit1-2015,4.604551453,26.4,51.2,40,18592,Machine_Failure
Makino-L1-Unit1-2013,4.605076132,28.7,44,35.3,18594,Machine_Failure
Makino-L1-Unit1-2013,4.605639814,27,48.3,37.1,18594,Machine_Failure
Makino-L1-Unit1-2013,4.602896383,25.6,46.2,35.3,18590,Machine_Failure
Makino-L2-Unit1-2015,3.053451378,20.3,46.7,32.4,20143,No_Machine_Failure
Makino-L2-Unit1-2015,4.996191476,20.2,49.7,37,20066,No_Machine_Failure
Makino-L2-Unit1-2015,5.005857708,9.9,48.9,38.2,14152,No_Machine_Failure
Makino-L1-Unit1-2013,4.982835887,20.1,47.9,27.7,20033,No_Machine_Failure
Makino-L3-Unit1-2015,5.003071102,20.2,53.8,37,20096,No_Machine_Failure
Makino-L3-Unit1-2015,3.126011472,5.7,44.7,34.6,17726,No_Machine_Failure
Makino-L2-Unit1-2015,4.989508626,20.1,43,36.9,20048,No_Machine_Failure
Makino-L2-Unit1-2015,5.200585147,22.2,49.2,33.4,20908,No_Machine_Failure
Makino-L1-Unit1-2013,5.690640358,26.7,48.8,33,22802,No_Machine_Failure
Makino-L3-Unit1-2015,3.053148837,25.7,48.8,31.2,22313,No_Machine_Failure
Makino-L1-Unit1-2013,3.895031347,20.3,50.7,34,20132,No_Machine_Failure
Makino-L1-Unit1-2013,3.126011472,20.2,44.1,33.4,20063,No_Machine_Failure
Makino-L1-Unit1-2013,3.106960002,20.2,49.9,35.9,20096,No_Machine_Failure
Makino-L3-Unit1-2015,5.007064236,20.3,44.7,39.1,16198,No_Machine_Failure
Makino-L2-Unit1-2015,4.628407979,24.4,52.3,37.1,18662,Machine_Failure
Makino-L2-Unit1-2015,3.164804649,23.1,42.4,37.4,21253,No_Machine_Failure
Makino-L3-Unit1-2015,4.632470519,30.3,44.2,27.1,18696,Machine_Failure
Makino-L1-Unit1-2013,4.631963789,29.8,43.7,40.2,18677,Machine_Failure
Makino-L1-Unit1-2013,4.633612606,26.4,53.9,36.6,18703,Machine_Failure
Makino-L1-Unit1-2013,4.632531174,27,52.6,41.9,18697,Machine_Failure
Makino-L1-Unit1-2013,4.632255824,28.7,46.9,35.9,18695,Machine_Failure
Makino-L1-Unit1-2013,4.627300244,30.3,42.7,39.7,18660,Machine_Failure
Makino-L3-Unit1-2015,4.62865564,29.8,50,36.7,25177,Machine_Failure
Makino-L3-Unit1-2015,4.631763082,24.4,44.9,31.6,18676,Machine_Failure
Makino-L1-Unit1-2013,4.630289963,25.6,45.3,38,18670,Machine_Failure
Makino-L3-Unit1-2015,4.632143517,26.4,44.6,33.9,18684,Machine_Failure
Makino-L2-Unit1-2015,4.626836515,28.7,46.5,34.8,18658,Machine_Failure
Makino-L2-Unit1-2015,4.626795799,29.8,44.7,38.5,18656,Machine_Failure
Makino-L3-Unit1-2015,3.105982448,20.2,44.5,37.5,20078,No_Machine_Failure
Makino-L1-Unit1-2013,4.853148554,14.2,48,32.2,19579,Machine_Failure
Makino-L1-Unit1-2013,4.881780773,28.7,45.4,32.6,19691,Machine_Failure
Makino-L2-Unit1-2015,4.87287689,18.2,42.4,35.3,19652,Machine_Failure
Makino-L3-Unit1-2015,4.84252053,8.1,47,38.1,25528,Machine_Failure
Makino-L3-Unit1-2015,5.918357337,17.3,47.7,39.7,23432,Machine_Failure
Makino-L1-Unit1-2013,3.888834693,12.2,51,37,15217,No_Machine_Failure
Makino-L3-Unit1-2015,4.833808976,24.4,47.2,35.2,19502,Machine_Failure
Makino-L1-Unit1-2013,4.831732053,25.6,55.2,32.9,19496,Machine_Failure
Makino-L2-Unit1-2015,4.873096632,8,50.7,36,21951,Machine_Failure
Makino-L2-Unit1-2015,4.830950284,21.9,46.1,29.9,17919,Machine_Failure
Makino-L2-Unit1-2015,3.164804649,8.7,42.2,30.1,13272,No_Machine_Failure
Makino-L1-Unit1-2013,3.105982448,7.4,52.1,33.5,19197,No_Machine_Failure
Makino-L3-Unit1-2015,3.895031347,4.5,45.6,31.6,16198,No_Machine_Failure
Makino-L2-Unit1-2015,3.053148837,11.9,47.3,34.5,14266,No_Machine_Failure
Makino-L2-Unit1-2015,3.053451378,10.6,38.8,33.4,14152,No_Machine_Failure
Makino-L2-Unit1-2015,4.87485962,30.3,43.3,37.2,19657,Machine_Failure
Makino-L3-Unit1-2015,3.895031347,5.7,41.7,43.7,20862,No_Machine_Failure
Makino-L3-Unit1-2015,3.164804649,9.9,52.5,36.1,13272,No_Machine_Failure
Makino-L3-Unit1-2015,3.105982448,8.7,52.5,36.1,19197,No_Machine_Failure
Makino-L3-Unit1-2015,4.574452248,25.4,47.6,36.2,18463,Machine_Failure
Makino-L3-Unit1-2015,4.607414353,10.4,49.9,32.8,26605,Machine_Failure
Makino-L2-Unit1-2015,4.606240648,17.3,43.3,32.9,26526,Machine_Failure
Makino-L2-Unit1-2015,4.610135134,6.8,46.1,38.1,27613,Machine_Failure
Makino-L3-Unit1-2015,4.607146349,7.8,48.4,33.5,20504,Machine_Failure
Makino-L2-Unit1-2015,4.609861844,16.8,45.4,40.7,21951,Machine_Failure
Makino-L2-Unit1-2015,3.106960002,7.4,46.8,26.9,18436,No_Machine_Failure
Makino-L2-Unit1-2015,3.126011472,6.8,45.6,26.3,17726,No_Machine_Failure
Makino-L1-Unit1-2013,4.648656023,14.8,48.6,32.4,23432,Machine_Failure
Makino-L2-Unit1-2015,4.665468486,11.3,51.3,38.3,25528,Machine_Failure
Makino-L2-Unit1-2015,4.664979529,15.2,48.6,34.2,17919,Machine_Failure
Makino-L2-Unit1-2015,4.66484663,31.2,44.4,30.5,27957,Machine_Failure
Makino-L3-Unit1-2015,4.632536661,6.4,44.4,37.4,20504,Machine_Failure
Makino-L3-Unit1-2015,4.648836155,17.5,48.6,42.3,26605,Machine_Failure
Makino-L2-Unit1-2015,4.663419861,9.2,45.3,30.2,27613,Machine_Failure
Makino-L2-Unit1-2015,4.663538009,10.1,50.4,43.8,26526,Machine_Failure
Makino-L3-Unit1-2015,4.648269418,16.2,49.2,39.2,23432,Machine_Failure
Makino-L3-Unit1-2015,4.665057181,18.4,42.5,40.5,20801,Machine_Failure
Makino-L1-Unit1-2013,4.674436339,16.2,42.8,31.6,25528,Machine_Failure
Makino-L1-Unit1-2013,4.666801914,12.3,46.2,36.2,17919,Machine_Failure
Makino-L1-Unit1-2013,4.666661578,18.2,48.2,37.4,27957,Machine_Failure
Makino-L1-Unit1-2013,4.632907576,18.8,37.1,37.6,21951,Machine_Failure
Makino-L2-Unit1-2015,5.674678995,26.5,51.7,35.3,22734,No_Machine_Failure
Makino-L3-Unit1-2015,3.164804649,26.7,47.1,31,22851,No_Machine_Failure
Makino-L3-Unit1-2015,5.717711526,26.8,50,37.5,22874,No_Machine_Failure
Makino-L1-Unit1-2013,5.691967493,6.8,45.4,37.1,22807,No_Machine_Failure
Makino-L3-Unit1-2015,5.669818485,7.4,50.2,25.5,22690,No_Machine_Failure
Makino-L1-Unit1-2013,3.164804649,26.8,47.7,36.2,22870,No_Machine_Failure
Makino-L1-Unit1-2013,3.126011472,26.7,46.5,34.1,22809,No_Machine_Failure
Makino-L2-Unit1-2015,3.053451378,26.7,41.8,42,22842,No_Machine_Failure
Makino-L2-Unit1-2015,3.895031347,26.7,48.6,31.9,22833,No_Machine_Failure
Makino-L3-Unit1-2015,3.105982448,26.5,37.8,26.5,22696,No_Machine_Failure
Makino-L1-Unit1-2013,3.106960002,26.6,51.6,34.1,22796,No_Machine_Failure
Makino-L2-Unit1-2015,3.126011472,26.7,51.2,33.9,22858,No_Machine_Failure
Makino-L3-Unit1-2015,3.895031347,26.7,46.8,31.5,22858,No_Machine_Failure
Makino-L1-Unit1-2013,3.888834693,26.5,46.2,34.6,22684,No_Machine_Failure
Makino-L1-Unit1-2013,3.053148837,26.8,46.6,29.9,22860,No_Machine_Failure
Makino-L2-Unit1-2015,5.188409155,22.1,48.9,34.4,14266,No_Machine_Failure
Makino-L1-Unit1-2013,4.878286381,24.1,47.4,42.2,19667,Machine_Failure
Makino-L3-Unit1-2015,5.189908353,22.1,48.1,37.5,20878,No_Machine_Failure
Makino-L1-Unit1-2013,5.190406955,22.1,48.7,32.8,17726,No_Machine_Failure
Makino-L2-Unit1-2015,5.179254956,22,51.8,37.5,13272,No_Machine_Failure
Makino-L2-Unit1-2015,5.204676947,22.2,49.2,34.9,18436,No_Machine_Failure
Makino-L3-Unit1-2015,6.878521595,17,49.6,33.7,27957,Machine_Failure
Makino-L3-Unit1-2015,4.875264631,11.4,44.6,36.8,19657,Machine_Failure
Makino-L1-Unit1-2013,4.879948835,15.7,49.9,33.5,19679,Machine_Failure
Makino-L1-Unit1-2013,4.879792088,6.6,48.9,34.2,19671,Machine_Failure
Makino-L1-Unit1-2013,4.905754631,33.6,51.4,38.7,20504,Machine_Failure
Makino-L2-Unit1-2015,4.898380749,25.8,49,35,21951,Machine_Failure
Makino-L1-Unit1-2013,5.128735848,21.6,40.5,31.4,20624,No_Machine_Failure
Makino-L3-Unit1-2015,3.895031347,21.7,52.3,32.4,20671,No_Machine_Failure
Makino-L2-Unit1-2015,3.126011472,21.1,46.8,27.3,20419,No_Machine_Failure
Makino-L1-Unit1-2013,5.077490154,21.1,47.1,37.7,20421,No_Machine_Failure
Makino-L1-Unit1-2013,4.610174458,5.9,44,35.9,26526,Machine_Failure
Makino-L2-Unit1-2015,3.106960002,21,45.7,25.2,20418,No_Machine_Failure
Makino-L3-Unit1-2015,3.105982448,21.1,43.9,34,20449,No_Machine_Failure
Makino-L2-Unit1-2015,3.164804649,21,45.9,37.9,20418,No_Machine_Failure
Makino-L3-Unit1-2015,5.088047184,21.1,46.1,37.1,20449,No_Machine_Failure
Makino-L2-Unit1-2015,4.610816353,12.6,41,35.3,26605,Machine_Failure
Makino-L3-Unit1-2015,4.610952675,25.3,55,39.6,27613,Machine_Failure
Makino-L3-Unit1-2015,4.671667475,21.1,40.4,32.1,18898,Machine_Failure
Makino-L3-Unit1-2015,4.660817052,24.2,46.2,31,18850,Machine_Failure
Makino-L1-Unit1-2013,4.663126404,32.5,44.7,35.6,18852,Machine_Failure
Makino-L1-Unit1-2013,4.671498417,18.8,53.4,37.8,18896,Machine_Failure
Makino-L3-Unit1-2015,4.668727514,12.8,46.4,29.6,18884,Machine_Failure
Makino-L3-Unit1-2015,4.667756019,26.1,48.3,30.8,18873,Machine_Failure
Makino-L1-Unit1-2013,4.672044389,4.5,51.1,27.7,18900,Machine_Failure
Makino-L2-Unit1-2015,4.673027644,22.2,50.7,34.9,18900,Machine_Failure
Makino-L1-Unit1-2013,4.6683925,7.7,55.8,38.4,18880,Machine_Failure
Makino-L2-Unit1-2015,4.673346142,26.7,43.7,31.8,18902,Machine_Failure
Makino-L2-Unit1-2015,5.686880297,26.6,50,36.8,22786,No_Machine_Failure
Makino-L2-Unit1-2015,4.653153391,25.8,44.7,34.7,18804,Machine_Failure
Makino-L3-Unit1-2015,4.667316017,18.6,43.7,32.6,18872,Machine_Failure
Makino-L3-Unit1-2015,4.668268755,17,49.2,43,18877,Machine_Failure
Makino-L3-Unit1-2015,4.671268193,25.2,50.3,41.1,23432,Machine_Failure
Makino-L3-Unit1-2015,5.751379092,11.9,49.3,40.2,23007,No_Machine_Failure
Makino-L1-Unit1-2013,5.752442661,12.2,50.1,30.5,23015,No_Machine_Failure
Makino-L1-Unit1-2013,5.752495315,4.5,51.4,31.2,23017,No_Machine_Failure
Makino-L3-Unit1-2015,5.753448767,5.7,50.7,35.4,23036,No_Machine_Failure
Makino-L1-Unit1-2013,5.752504497,6.8,47.3,29.9,23035,No_Machine_Failure
Makino-L3-Unit1-2015,5.680660038,7.4,54.3,32.8,22760,No_Machine_Failure
Makino-L2-Unit1-2015,5.671659856,11.9,42.7,35.7,22717,No_Machine_Failure
Makino-L1-Unit1-2013,5.719618378,7.4,45.4,40.2,17726,No_Machine_Failure
Makino-L1-Unit1-2013,5.717794637,8.7,44.2,29.4,18436,No_Machine_Failure
Makino-L2-Unit1-2015,5.68161092,9.9,53,33.7,19197,No_Machine_Failure
Makino-L2-Unit1-2015,5.677278668,10.6,51.2,37.3,13272,No_Machine_Failure
Makino-L3-Unit1-2015,4.663410412,6.7,48.7,41.9,18852,Machine_Failure
Makino-L1-Unit1-2013,5.682929623,26.6,48,25.2,22771,No_Machine_Failure
Makino-L2-Unit1-2015,4.668244017,4.9,41.5,33.8,18875,Machine_Failure
Makino-L3-Unit1-2015,4.669487275,8.6,42.6,37.3,18889,Machine_Failure
Makino-L2-Unit1-2015,4.669303357,25.8,50,29.8,18888,Machine_Failure
Makino-L3-Unit1-2015,4.67432942,13.4,50.7,37.6,18902,Machine_Failure
Makino-L3-Unit1-2015,5.676478786,12.2,40.9,36.3,15217,No_Machine_Failure
Makino-L3-Unit1-2015,5.684724809,26.6,53.3,35,22773,No_Machine_Failure
Makino-L3-Unit1-2015,6.839413159,15.6,41.9,37.9,26526,Machine_Failure
Makino-L1-Unit1-2013,5.544514339,8.7,50.1,34.2,22214,No_Machine_Failure
Makino-L2-Unit1-2015,5.918357337,7.1,49.5,28.3,17919,Machine_Failure
Makino-L2-Unit1-2015,5.567856573,6.8,41.7,35.4,20801,Machine_Failure
Makino-L1-Unit1-2013,4.566853902,22.4,49.7,30.5,23432,Machine_Failure
Makino-L3-Unit1-2015,4.939960216,8.4,49.1,38.5,26605,Machine_Failure
Makino-L3-Unit1-2015,6.863944117,5.8,46.7,37.2,27613,Machine_Failure
Makino-L3-Unit1-2015,4.84252053,16.6,49.5,46.3,21951,Machine_Failure
Makino-L1-Unit1-2013,4.897138697,19.1,42.9,31.4,20504,Machine_Failure
Makino-L3-Unit1-2015,4.910853549,8.9,45.1,37.1,21951,Machine_Failure
Makino-L2-Unit1-2015,4.915554109,23,48,35.2,27957,Machine_Failure
Makino-L3-Unit1-2015,4.918131688,9,44,37.3,17919,Machine_Failure
Makino-L3-Unit1-2015,4.918613459,24.4,51.8,35.2,25528,Machine_Failure
Makino-L1-Unit1-2013,5.563162468,12.2,,40.3,14266,No_Machine_Failure
Makino-L1-Unit1-2013,6.893181921,14,48.5,34,27957,Machine_Failure
Makino-L1-Unit1-2013,5.918357337,21.3,45.5,39.9,19770,Machine_Failure
Makino-L1-Unit1-2013,5.544233937,25.5,48.2,35.4,14266,No_Machine_Failure
Makino-L3-Unit1-2015,4.891376687,17.3,45.1,33.1,23432,Machine_Failure
Makino-L1-Unit1-2013,5.563127048,25.6,48.7,30.9,22294,No_Machine_Failure
Makino-L1-Unit1-2013,5.550615034,25.5,48,41.3,22246,No_Machine_Failure
Makino-L1-Unit1-2013,5.445148066,5.7,50.4,32.1,16198,No_Machine_Failure
Makino-L3-Unit1-2015,5.447689729,9.9,42.6,29.8,13272,No_Machine_Failure
Makino-L2-Unit1-2015,5.537401445,8.7,51.1,35.9,19197,No_Machine_Failure
Makino-L3-Unit1-2015,5.453119202,7.4,49.2,34,18436,No_Machine_Failure
Makino-L2-Unit1-2015,5.504483404,6.8,52.1,33.4,17726,No_Machine_Failure
Makino-L1-Unit1-2013,5.572557863,25.7,45.5,26.2,13272,No_Machine_Failure
Makino-L3-Unit1-2015,5.54733782,25.5,41.3,39.1,14152,No_Machine_Failure
Makino-L1-Unit1-2013,5.540903014,4.5,48,36.5,15217,No_Machine_Failure
Makino-L2-Unit1-2015,6.960635908,14.9,48.5,31.4,20504,Machine_Failure
Makino-L3-Unit1-2015,5.358623507,17,53.9,33.3,26605,Machine_Failure
Makino-L1-Unit1-2013,5.191414746,22.1,49,37.2,20889,No_Machine_Failure
Makino-L1-Unit1-2013,5.267502686,22.9,50,36.1,21186,No_Machine_Failure
Makino-L2-Unit1-2015,3.105982448,22.1,51.8,31,13272,No_Machine_Failure
Makino-L3-Unit1-2015,3.164804649,22.2,41.7,32.6,14152,No_Machine_Failure
Makino-L3-Unit1-2015,5.192142878,22.1,43.6,34.6,20896,No_Machine_Failure
Makino-L3-Unit1-2015,5.213152393,22.3,41.7,32.6,16198,No_Machine_Failure
Makino-L1-Unit1-2013,5.191780718,22.1,49.7,38.6,15217,No_Machine_Failure
Makino-L3-Unit1-2015,5.230668926,22.5,50.3,31.3,21025,No_Machine_Failure
Makino-L2-Unit1-2015,3.106960002,22.1,47,34.1,19197,No_Machine_Failure
Makino-L2-Unit1-2015,5.200355865,22.2,44,29,14266,No_Machine_Failure
Makino-L1-Unit1-2013,6.839413159,23.7,51.7,29.4,23432,Machine_Failure
Makino-L3-Unit1-2015,6.863944117,5.3,41.9,40.5,26526,Machine_Failure
Makino-L1-Unit1-2013,4.86086247,23.4,50.1,35.2,27613,Machine_Failure
Makino-L3-Unit1-2015,3.895031347,21.7,50.1,40,17726,No_Machine_Failure
Makino-L1-Unit1-2013,3.126011472,21.7,45.9,37.1,18436,No_Machine_Failure
Makino-L3-Unit1-2015,4.618154477,8.6,47.1,27.4,18619,Machine_Failure
Makino-L3-Unit1-2015,4.61494304,26.4,41.8,38.6,26526,Machine_Failure
Makino-L3-Unit1-2015,6.612112924,25.6,48.6,40.1,23432,Machine_Failure
Makino-L3-Unit1-2015,4.616638516,19.1,46.6,32.4,18617,Machine_Failure
Makino-L2-Unit1-2015,6.560332199,20.5,53.1,34.6,25528,Machine_Failure
Makino-L2-Unit1-2015,4.566853902,26.6,51.1,33.1,18621,Machine_Failure
Makino-L3-Unit1-2015,5.078441948,6.8,47.3,31.8,17726,No_Machine_Failure
Makino-L3-Unit1-2015,5.567856573,4.1,43.4,41.1,26155,Machine_Failure
Makino-L2-Unit1-2015,6.560332199,29.5,48.4,37.2,18617,Machine_Failure
Makino-L2-Unit1-2015,4.619165122,20.3,43.4,35.8,18621,Machine_Failure
Makino-L1-Unit1-2013,4.617635747,4.9,46.7,36,18617,Machine_Failure
Makino-L2-Unit1-2015,4.65509905,26.4,43.5,35.8,18819,Machine_Failure
Makino-L1-Unit1-2013,4.653885966,28.7,46.9,40.1,26605,Machine_Failure
Makino-L3-Unit1-2015,4.657393363,29.8,50.3,28.5,20504,Machine_Failure
Makino-L1-Unit1-2013,4.656449389,30.3,44.2,33.4,21951,Machine_Failure
Makino-L1-Unit1-2013,4.655496495,24.4,42.6,37.4,18824,Machine_Failure
Makino-L3-Unit1-2015,4.655210904,25.6,47.5,25.3,18824,Machine_Failure
Makino-L2-Unit1-2015,4.652735222,28.7,51,38.5,18803,Machine_Failure
Makino-L1-Unit1-2013,4.654960279,27,50.8,32,18813,Machine_Failure
Makino-L3-Unit1-2015,5.767252168,27.5,48,36.5,23123,No_Machine_Failure
Makino-L3-Unit1-2015,4.65032046,25,48.6,36.4,18776,Machine_Failure
Makino-L1-Unit1-2013,4.650913204,22.6,43,35.1,18784,Machine_Failure
Makino-L3-Unit1-2015,5.761318904,27.4,46.8,40.5,23096,No_Machine_Failure
Makino-L1-Unit1-2013,5.725594797,26.9,48.4,33.3,22921,No_Machine_Failure
Makino-L2-Unit1-2015,5.725783405,26.9,40,39.8,22926,No_Machine_Failure
Makino-L1-Unit1-2013,5.747931911,27.1,49.4,30.2,22989,No_Machine_Failure
Makino-L3-Unit1-2015,5.754694649,27.3,44.1,24.8,23040,No_Machine_Failure
Makino-L3-Unit1-2015,5.757931466,27.4,52.8,33.3,23079,No_Machine_Failure
Makino-L2-Unit1-2015,5.758829761,27.4,48.5,34,23090,No_Machine_Failure
Makino-L3-Unit1-2015,5.723522161,26.9,46.3,32,22905,No_Machine_Failure
Makino-L1-Unit1-2013,5.766816515,27.4,45.9,37.1,23118,No_Machine_Failure
Makino-L2-Unit1-2015,5.757427001,27.4,44.3,29.2,23075,No_Machine_Failure
Makino-L3-Unit1-2015,4.650670141,7.5,48,30.9,18778,Machine_Failure
Makino-L1-Unit1-2013,4.657791713,15.7,51.7,32.5,18836,Machine_Failure
Makino-L3-Unit1-2015,4.651531334,18.7,50.1,32.1,18784,Machine_Failure
Makino-L2-Unit1-2015,6.659794409,12.6,46.6,39.1,18849,Machine_Failure
Makino-L3-Unit1-2015,4.651746047,13.1,45.3,34.2,18795,Machine_Failure
Makino-L1-Unit1-2013,4.651798764,25.8,53.2,33.3,18796,Machine_Failure
Makino-L2-Unit1-2015,4.652314207,13.4,51.1,30.8,18801,Machine_Failure
Makino-L3-Unit1-2015,4.651754175,30.3,45.9,31.5,18796,Machine_Failure
Makino-L3-Unit1-2015,4.652839876,29.8,48.3,39.4,18803,Machine_Failure
Makino-L1-Unit1-2013,4.946687491,6,39.6,36,19897,Machine_Failure
Makino-L1-Unit1-2013,4.949583888,27,47.5,37.2,27613,Machine_Failure
Makino-L3-Unit1-2015,6.893181921,23.7,50.2,34.6,19927,Machine_Failure
Makino-L2-Unit1-2015,4.84252053,13.4,43.9,43,19755,Machine_Failure
Makino-L3-Unit1-2015,6.560332199,18.6,48.5,28.8,20504,Machine_Failure
Makino-L3-Unit1-2015,5.505489552,9.9,46,34.2,22051,No_Machine_Failure
Makino-L2-Unit1-2015,5.358623507,10.1,47.5,29.7,25528,Machine_Failure
Makino-L1-Unit1-2013,5.512323332,8.7,47.2,37.4,22072,No_Machine_Failure
Makino-L1-Unit1-2013,5.519067525,25.2,49.5,33,19197,No_Machine_Failure
Makino-L2-Unit1-2015,5.515344641,25.1,46.8,39.2,13272,No_Machine_Failure
Makino-L2-Unit1-2015,5.553415529,25.6,51.7,25.6,14152,No_Machine_Failure
Makino-L2-Unit1-2015,5.528345345,25.3,49.3,33.1,14266,No_Machine_Failure
Makino-L1-Unit1-2013,5.518401201,25.1,39.2,33,15217,No_Machine_Failure
Makino-L1-Unit1-2013,5.526982436,25.3,44.6,33.4,16198,No_Machine_Failure
Makino-L3-Unit1-2015,5.524086588,4.5,45.3,34.5,17726,No_Machine_Failure
Makino-L1-Unit1-2013,4.86086247,10.9,49,28.2,17919,Machine_Failure
Makino-L1-Unit1-2013,6.960635908,8,50.9,40.4,23432,Machine_Failure
Makino-L2-Unit1-2015,5.52109392,5.7,44.2,37.9,22125,No_Machine_Failure
Makino-L1-Unit1-2013,4.84252053,24.1,40.8,33.8,26526,Machine_Failure
Makino-L2-Unit1-2015,6.893181921,18.4,48.8,44.9,27613,Machine_Failure
Makino-L3-Unit1-2015,5.918357337,18.1,52.8,28.4,26605,Machine_Failure
Makino-L1-Unit1-2013,5.532694483,25.3,46.7,35.8,17726,No_Machine_Failure
Makino-L2-Unit1-2015,5.512867916,6.8,46.8,35.9,22081,No_Machine_Failure
Makino-L1-Unit1-2013,5.535229016,8.7,48.1,34.8,22168,No_Machine_Failure
Makino-L1-Unit1-2013,5.534150344,6.8,44.2,34,22167,No_Machine_Failure
Makino-L2-Unit1-2015,5.572841086,5.7,49.2,32.4,22310,No_Machine_Failure
